"Full Name",Position,"Draft Year",Weight,"40-Yard Dash","Broad Jump","Vertical Jump","Bench Press","3-Cone Drill","20-Yard Shuttle","Breakout Age","College Dominator Rating"
"Dezmin Lewis",WR,2015,"214 lbs",4.58,119,33.5,16,7.11,4.28,19.8,28.0%
"Dillon Mitchell",WR,2019,"197 lbs",4.46,122,36.5,12,-,4.29,20.3,35.6%
"Diontae Johnson",WR,2019,"183 lbs",4.53,123,33.5,15,7.09,4.45,20.8,34.0%
"Diontae Spencer",WR,2014,"173 lbs",4.39,123,40.0,13,7.22,4.30,21.5,28.8%
"Dom Williams",WR,2016,"198 lbs",4.45,125,40.5,11,7.04,4.28,22.7,23.7%
"Domenik Hixon",WR,2006,"197 lbs",4.44,-,-,-,-,-,20.9,33.5%
"Domonique Young",WR,2017,"219 lbs",-,-,-,-,-,-,-,13.6%
"Donnie Avery",WR,2008,"183 lbs",4.43,126,37.5,16,6.30,3.91,21.2,34.7%
"Donte Foster",WR,2014,"193 lbs",4.52,130,42.0,14,6.79,4.30,21.8,31.9%
"Donte Moncrief",WR,2014,"221 lbs",4.40,132,39.5,13,7.02,4.30,18.1,32.1%
"Donteea Dye",WR,2015,"195 lbs",4.50,123,36.5,17,7.02,4.22,19.0,42.7%
"Dontez Ford",WR,2017,"212 lbs",4.61,127,36.0,16,6.98,4.47,-,14.4%
"Dontre Wilson",WR,2017,"183 lbs",4.63,112,33.0,-,6.96,4.10,-,18.8%
"Dontrelle Inman",WR,2011,"205 lbs",4.52,118,34.0,11,6.53,4.13,21.6,21.2%
"Dorial Green-Beckham",WR,2015,"237 lbs",4.49,119,33.5,13,6.89,4.45,20.4,31.8%
"Dorren Miller",WR,2018,"195 lbs",4.44,-,39.0,17,-,-,23.1,62.8%
"Doug Baldwin",WR,2011,"189 lbs",4.53,123,37.0,6,6.56,4.26,20.0,27.0%
"Douglas McNeil",WR,2013,"200 lbs",4.67,-,-,-,-,-,22.1,47.2%
"Dredrick Snelson",WR,2019,-,-,-,-,-,-,-,20.4,20.5%
"Dres Anderson",WR,2015,"187 lbs",4.58,121,37.5,13,6.83,4.22,21.1,32.5%
"Drew Davis",WR,2012,"205 lbs",4.60,120,33.0,15,7.03,4.21,-,12.8%
"Drew Morgan",WR,2017,"190 lbs",4.74,112,30.0,10,6.85,4.12,20.8,22.4%
"Duke Williams",WR,2016,"229 lbs",4.72,121,30.0,14,7.43,4.47,22.3,19.3%
"Duron Carter",WR,2013,"205 lbs",4.63,124,33.0,-,6.90,4.47,-,6.5%
"Durron Neal",WR,2016,"199 lbs",4.59,121,32.5,13,7.22,4.46,-,14.7%
"Dwayne Bowe",WR,2007,"221 lbs",4.51,125,33.0,-,6.81,4.35,21.0,35.4%
"Dwayne Harris",WR,2011,"200 lbs",4.55,111,34.0,10,6.77,4.21,22.0,32.9%
"Dwayne Stanford",WR,2017,"213 lbs",-,-,-,17,-,-,-,9.6%
"Dylan Cantrell",WR,2018,"226 lbs",4.59,130,38.5,18,6.56,4.03,22.2,19.4%
"Earl Bennett",WR,2008,"204 lbs",4.48,110,32.5,15,7.15,4.22,18.5,38.4%
"Ed Eagan",WR,2016,"192 lbs",4.56,118,34.0,6,7.09,4.13,21.2,32.1%
"Ed Williams",WR,2014,"196 lbs",4.58,121,35.0,-,-,-,22.5,31.3%
"Eddie Royal",WR,2008,"185 lbs",4.39,124,36.0,24,7.07,4.34,20.3,21.7%
"Eli Rogers",WR,2015,"180 lbs",4.62,117,34.5,19,6.71,4.10,18.7,15.2%
"Emanuel Hall",WR,2019,"201 lbs",4.39,141,43.5,15,-,-,20.3,35.7%
"Emmanuel Butler",WR,2019,"217 lbs",-,115,36.0,11,-,4.22,19.0,42.9%
"Emmanuel Sanders",WR,2010,"180 lbs",4.41,126,39.5,12,6.64,4.10,19.5,34.2%
"Emory Blake",WR,2013,"196 lbs",4.67,120,36.5,-,7.00,4.26,19.1,41.5%
"Equanimeous St. Brown",WR,2018,"214 lbs",4.48,-,34.5,20,-,-,19.9,25.2%
"Eric Decker",WR,2010,"215 lbs",4.60,-,-,15,-,-,20.5,44.5%
"Eric Page",WR,2012,"180 lbs",4.60,112,30.0,15,6.95,3.98,18.0,35.3%
"Eric Rogers",WR,2013,"210 lbs",4.55,121,37.0,9,7.08,4.20,18.6,46.4%
"Eric Ward",WR,2014,"205 lbs",4.71,110,32.5,13,7.04,4.44,21.1,24.0%
"Eric Weems",WR,2007,"195 lbs",4.57,-,-,-,-,-,19.2,43.1%
"Evan Spencer",WR,2015,"208 lbs",4.50,124,35.0,20,7.03,4.29,20.3,6.7%
"Ezell Ruffin",WR,2015,"218 lbs",4.68,110,27.5,17,7.35,4.58,21.5,35.5%
"Felton Davis",WR,2019,"211 lbs",-,-,-,21,-,-,20.5,46.5%
"Francis Owusu",WR,2017,"221 lbs",4.40,127,39.0,12,7.07,4.13,-,11.3%
"Frank Stephens",WR,2018,"176 lbs",4.47,122,36.0,13,6.82,4.08,21.9,24.5%
"Frankie Hammond",WR,2013,"184 lbs",4.49,121,33.0,14,6.57,4.21,-,19.4%
"Fred Brown",WR,2017,"199 lbs",4.53,118,37.0,13,6.82,4.32,-,9.6%
"Fred Ross",WR,2017,"213 lbs",4.51,113,35.0,10,6.99,4.28,21.3,41.8%
"Freddie Martino",WR,2014,"195 lbs",4.54,115,33.5,13,6.59,4.36,19.0,51.2%
"Gabe Marks",WR,2017,"189 lbs",4.56,117,29.5,11,7.01,4.20,21.1,27.9%
"Garrett Johnson",WR,2018,"169 lbs",4.55,118,40.0,12,6.81,4.26,-,23.9%
"Garry Brown",WR,2017,"206 lbs",4.63,126,37.0,21,6.81,4.34,20.1,48.7%
"Gary Jennings",WR,2019,"214 lbs",4.42,127,37.0,20,7.32,4.15,20.5,34.0%
"Gavin Lutman",WR,2015,"201 lbs",4.55,126,36.5,9,6.65,4.20,22.5,34.1%
"Gehrig Dieter",WR,2017,"208 lbs",4.61,119,32.5,15,7.20,4.33,22.5,15.9%
"Geraldo Boldewijn",WR,2014,"215 lbs",4.61,127,34.0,18,6.88,4.19,-,11.5%
"Geremy Davis",WR,2015,"216 lbs",4.52,124,36.5,23,6.86,4.18,20.7,28.1%
"Geronimo Allison",WR,2016,"196 lbs",4.67,127,33.0,-,7.40,4.28,20.6,24.5%
"Gerrard Sheppard",WR,2013,"211 lbs",4.43,121,35.5,15,7.22,4.41,-,14.5%
"Golden Tate",WR,2010,"202 lbs",4.42,120,35.0,17,7.12,4.34,20.1,44.3%
"Grant Perry",WR,2019,-,-,-,-,-,-,-,-,8.7%
"Greg Campbell",WR,2019,-,-,-,-,-,-,-,22.0,30.8%
"Greg Dortch",WR,2019,"173 lbs",-,-,-,-,-,-,19.3,39.4%
"Greg Hardin",WR,2014,"171 lbs",4.49,116,33.5,12,6.82,4.41,20.0,38.0%
"Greg Jenkins",WR,2013,"208 lbs",4.77,113,30.0,15,7.16,4.25,-,-
"Greg Jennings",WR,2006,"198 lbs",4.42,117,36.5,-,6.69,4.18,22.0,46.5%
"Greg Little",WR,2011,"220 lbs",4.53,129,40.5,27,6.80,4.21,20.3,10.9%
"Greg Salas",WR,2011,"210 lbs",4.56,120,37.0,15,6.65,4.10,21.0,34.0%
"Greg Ward",WR,2017,"186 lbs",4.64,115,34.5,10,6.90,4.31,-,5.1%
"Griff Whalen",WR,2012,"185 lbs",4.60,110,36.5,15,6.89,4.06,-,15.6%
"Hakeem Butler",WR,2019,"227 lbs",4.48,128,36.0,18,-,-,21.3,43.5%
"Hakeem Nicks",WR,2009,"208 lbs",4.63,121,36.0,-,6.96,4.43,18.6,52.2%
"Harry Douglas",WR,2008,"182 lbs",4.51,120,31.0,11,6.57,4.12,22.0,30.1%
"Hunter Renfrow",WR,2019,"184 lbs",4.59,116,35.0,7,6.80,4.19,21.7,23.7%
"Hunter Sharp",WR,2016,"198 lbs",4.58,116,32.5,12,7.12,4.19,20.4,43.8%
"Isaac Whitney",WR,2017,"204 lbs",4.39,126,36.0,12,7.04,4.45,-,2.6%
"Isaiah Burse",WR,2014,"188 lbs",4.58,115,31.0,16,6.74,3.94,-,17.0%
"Isaiah Ford",WR,2017,"194 lbs",4.61,127,35.5,14,6.94,4.34,18.6,35.5%
"Isaiah McKenzie",WR,2017,"173 lbs",4.42,123,36.0,11,6.64,4.15,21.4,34.5%
"Ishmael Adams",WR,2017,"186 lbs",4.55,111,27.0,15,7.03,4.25,-,2.7%
"Ishmael Zamora",WR,2017,"224 lbs",4.58,125,37.5,13,7.10,4.11,20.8,30.2%
"Issac Blakeney",WR,2015,"225 lbs",4.67,129,36.5,17,6.89,4.26,21.8,25.1%
"J'Mon Moore",WR,2018,"207 lbs",4.60,120,38.0,21,6.56,4.04,20.3,27.6%
"J.J. Arcega-Whiteside",WR,2019,"225 lbs",-,-,-,-,-,-,19.7,42.7%
"J.J. Jones",WR,2018,"175 lbs",4.40,128,38.0,5,6.83,4.26,-,8.5%
"J.J. Nelson",WR,2015,"156 lbs",4.28,127,36.0,-,7.02,4.15,21.4,24.2%
"Ja-Mes Logan",WR,2014,"192 lbs",4.74,115,32.0,14,6.76,4.00,-,14.7%
"Jace Billingsley",WR,2016,"192 lbs",4.53,116,35.5,24,6.88,4.10,19.3,30.8%
"Jace Davis",WR,2014,"206 lbs",4.50,118,35.0,18,6.88,4.28,19.0,35.6%
"Jacoby Ford",WR,2010,"185 lbs",4.28,115,33.5,15,7.00,4.44,21.1,27.5%
"Jacoby Jones",WR,2007,"220 lbs",4.50,129,34.0,-,7.03,4.31,-,-
"Jaelen Strong",WR,2015,"217 lbs",4.44,123,42.0,17,7.33,4.19,19.6,31.1%
"Jake Kumerow",WR,2015,"208 lbs",4.58,113,31.0,15,6.90,4.26,21.6,40.7%
"Jake Lampman",WR,2015,"200 lbs",4.52,122,39.0,27,6.76,4.35,19.2,25.7%
"Jake Wieneke",WR,2018,"221 lbs",4.67,114,34.0,9,7.24,4.37,20.0,42.0%
"Jakeem Grant",WR,2016,"165 lbs",4.42,117,36.5,15,7.03,4.03,22.9,25.4%
"Jakobi Meyers",WR,2019,"203 lbs",4.63,118,37.0,13,7.07,4.23,20.8,35.2%
"Jaleel Scott",WR,2018,"218 lbs",4.56,124,34.5,16,7.20,4.40,22.5,27.7%
"Jalen Guyton",WR,2019,-,-,-,-,-,-,-,-,22.2%
"Jalen Hurd",WR,2019,"226 lbs",-,-,-,23,-,-,22.6,24.0%
"Jalen Robinette",WR,2017,"220 lbs",4.62,120,31.5,13,6.77,4.46,19.6,48.8%
"Jalen Saunders",WR,2014,"165 lbs",4.44,122,34.0,-,7.29,4.42,18.9,34.4%
"Jalen Tolliver",WR,2018,"213 lbs",4.61,122,37.5,20,6.99,4.23,19.7,46.7%
"Jalen Williams",WR,2017,"209 lbs",4.60,119,40.5,14,-,-,-,21.3%
"Jalin Marshall",WR,2016,"200 lbs",4.60,125,37.5,16,6.80,4.13,20.1,24.8%
"Jamaal Jones",WR,2016,"189 lbs",4.64,122,36.0,18,7.31,4.50,21.6,38.7%
"Jamal Custis",WR,2019,"214 lbs",4.50,124,34.5,-,-,-,22.8,21.1%
"Jamal Robinson",WR,2016,"212 lbs",4.55,118,36.5,24,6.91,4.39,20.6,35.8%
"Jamari Staples",WR,2017,"195 lbs",4.51,130,36.0,-,-,4.41,19.0,18.5%
"Jamarius Way",WR,2019,"215 lbs",4.63,119,32.5,16,-,4.66,20.8,38.6%
"James Gardner",WR,2019,-,-,-,-,-,-,-,20.4,21.1%
"James Jones",WR,2007,"208 lbs",4.54,119,34.0,22,7.06,4.20,22.4,44.1%
"James Quick",WR,2017,"186 lbs",4.60,115,31.0,11,7.00,4.39,20.9,22.6%
"James Washington",WR,2018,"213 lbs",4.54,120,34.5,14,7.11,4.32,18.4,33.3%
"James Wright",WR,2014,"201 lbs",4.50,128,38.5,16,7.18,4.32,-,2.3%
"Jamison Crowder",WR,2015,"185 lbs",4.56,115,37.0,10,7.17,4.32,19.2,33.3%
"Janarion Grant",WR,2018,"177 lbs",4.61,122,32.0,22,7.07,4.43,23.8,22.6%
"Jared Abbrederis",WR,2014,"195 lbs",4.50,117,30.5,4,6.80,4.08,20.7,37.0%
"Jared Dangerfield",WR,2016,"215 lbs",4.79,119,33.5,23,6.92,4.32,-,17.9%
"Jared Green",WR,2012,"188 lbs",4.47,129,35.0,3,6.96,4.42,-,9.8%
"Jarius Wright",WR,2012,"180 lbs",4.42,120,38.0,11,6.93,4.03,21.8,40.2%
"Jaron Brown",WR,2013,"205 lbs",4.45,124,35.2,17,6.82,4.07,-,11.2%
"Jarrett Boykin",WR,2012,"218 lbs",4.74,123,36.0,11,7.12,4.28,18.8,29.9%
"Jarvis Landry",WR,2014,"205 lbs",4.65,110,28.5,12,7.56,4.59,19.8,40.0%
"Jason Avant",WR,2006,"212 lbs",4.67,118,37.0,20,7.02,4.19,22.4,36.2%
"Jasper Collins",WR,2013,"188 lbs",4.53,121,34.5,12,6.85,4.07,18.8,45.1%
"Javon Wims",WR,2018,"215 lbs",4.53,113,33.5,-,7.00,-,23.0,28.2%
"Javone Lawson",WR,2013,"183 lbs",4.73,113,32.0,7,7.38,4.47,21.6,28.2%
"Javontee Herndon",WR,2014,"207 lbs",4.49,118,34.0,23,6.87,4.34,22.1,25.6%
"Jawill Davis",WR,2018,"191 lbs",4.43,123,39.0,14,7.52,4.56,20.4,24.0%
"Jaxon Shipley",WR,2015,"195 lbs",4.57,128,35.5,10,6.82,4.37,19.1,18.8%
"Jay Lee",WR,2016,"215 lbs",4.58,119,33.5,13,6.75,4.28,-,19.2%
"Jaydon Mickens",WR,2016,"174 lbs",4.59,121,35.5,15,6.62,3.93,19.4,19.3%
"Jaylen Smith",WR,2019,"219 lbs",4.47,-,34.5,14,7.55,4.48,20.1,23.9%
"Jaz Reynolds",WR,2014,"198 lbs",4.62,125,35.0,9,-,-,20.5,15.5%
"Jazz Ferguson",WR,2019,"227 lbs",4.45,123,37.0,8,7.25,4.59,21.6,36.1%
"Jeff Badet",WR,2018,"182 lbs",4.39,131,39.5,16,7.24,4.54,-,16.4%
"Jeff Fuller",WR,2012,"223 lbs",4.58,120,32.0,17,7.09,4.42,18.4,28.8%
"Jeff Janis",WR,2014,"219 lbs",4.42,123,37.5,20,6.64,3.98,20.2,45.2%
"Jeff Maehl",WR,2011,"190 lbs",4.62,115,33.5,8,6.42,3.94,19.5,36.4%
"Jehu Chesson",WR,2017,"204 lbs",4.47,132,35.5,10,6.70,4.09,21.7,23.9%
"Jeremy Butler",WR,2014,"224 lbs",4.65,114,36.0,15,7.19,4.28,21.4,50.8%
"Jeremy Gallon",WR,2014,"185 lbs",4.49,130,39.5,15,7.07,4.26,22.6,42.7%
"Jeremy Johnson",WR,2014,"179 lbs",4.69,114,32.5,15,6.91,4.44,20.8,26.6%
"Jeremy Kerley",WR,2011,"188 lbs",4.62,120,34.5,16,6.70,3.99,21.8,26.9%
"Jeremy Maclin",WR,2009,"198 lbs",4.48,120,35.5,-,7.06,4.25,19.3,29.5%
"Jeremy Ross",WR,2012,"209 lbs",4.49,115,39.0,22,7.20,4.19,-,7.3%
"Jermaine Jones",WR,2014,"194 lbs",4.50,125,33.5,12,7.47,4.35,-,19.1%
"Jermaine Kearse",WR,2012,"209 lbs",4.58,119,34.0,14,7.03,4.12,18.6,36.1%
"Jerome Lane",WR,2017,"226 lbs",4.60,125,35.0,16,6.87,4.12,19.5,33.2%
"Jerome Simpson",WR,2008,"189 lbs",4.47,136,37.5,-,7.08,4.52,18.6,59.6%
"Jerrel Jernigan",WR,2011,"189 lbs",4.46,117,37.5,11,7.07,4.25,19.2,21.8%
"Jerricho Cotchery",WR,2004,"203 lbs",4.54,121,36.0,-,6.95,3.92,19.2,29.2%
"Jesper Horsted",WR,2019,-,-,-,-,-,-,-,20.5,48.8%
"Jester Weah",WR,2018,"210 lbs",4.43,129,38.0,15,7.24,4.41,21.6,31.5%
"Jhajuan Seales",WR,2017,"206 lbs",4.56,123,41.5,20,7.27,4.36,-,14.2%
"Jimmie Hunt",WR,2015,"215 lbs",4.60,116,31.5,12,7.00,4.46,24.0,27.2%
"JoJo Natson",WR,2017,"159 lbs",4.51,122,34.0,16,7.20,4.19,22.6,33.7%
"Joe Morgan",WR,2011,"184 lbs",4.44,123,35.5,10,6.91,4.25,21.5,49.3%
"John Brown",WR,2014,"179 lbs",4.34,119,36.5,8,6.91,4.12,21.4,42.4%
"John Harris",WR,2015,"218 lbs",4.64,118,33.5,19,6.82,4.45,22.8,45.2%
"John Ross",WR,2017,"188 lbs",4.22,133,37.0,-,-,-,18.8,34.1%
"John Ursua",WR,2019,-,-,-,-,-,-,-,-,43.4%
"Johnnie Dixon",WR,2019,"201 lbs",4.41,120,37.5,16,-,4.43,-,15.8%
"Johnny Holton",WR,2016,"190 lbs",4.54,123,31.5,8,6.90,4.20,25.0,22.0%
"Jon Baldwin",WR,2011,"230 lbs",4.50,129,42.0,20,7.07,4.34,19.1,34.5%
"Jon Duhart",WR,2019,-,-,-,-,-,-,-,19.2,36.1%
"Jonah Trinnaman",WR,2018,"192 lbs",4.35,144,40.5,14,6.96,4.36,-,7.8%
"Jonathan Giles",WR,2019,-,-,-,-,-,-,-,20.4,12.7%
"Jonathan Krause",WR,2014,"187 lbs",4.42,128,37.5,13,6.94,4.04,21.6,23.8%
"Jon’Vea Johnson",WR,2019,-,-,-,-,-,-,-,20.7,25.2%
"Jordan Harris",WR,2014,"215 lbs",4.70,119,34.5,7,7.29,4.39,18.7,40.8%
"Jordan Lasley",WR,2018,"203 lbs",4.50,112,34.5,8,7.27,4.19,19.8,41.4%
"Jordan Leslie",WR,2015,"205 lbs",4.51,130,36.0,18,6.87,4.08,19.8,28.5%
"Jordan Matthews",WR,2014,"212 lbs",4.46,120,35.5,21,6.95,4.18,18.1,48.3%
"Jordan Norwood",WR,2009,"180 lbs",4.62,119,38.0,-,6.80,4.20,20.9,26.1%
"Jordan Payton",WR,2016,"207 lbs",4.47,121,34.5,-,7.08,4.33,21.0,27.2%
"Jordan Smallwood",WR,2018,"219 lbs",4.58,130,39.0,21,6.95,4.26,-,2.0%
"Jordan Taylor",WR,2015,"204 lbs",4.57,122,36.5,9,6.69,4.46,20.6,32.5%
"Jordan Veasy",WR,2018,"221 lbs",4.58,123,34.5,16,7.07,4.47,22.2,23.7%
"Jordan Westerkamp",WR,2017,"194 lbs",-,-,-,-,-,-,20.2,30.5%
"Jordan Williams-Lambert",WR,2016,"227 lbs",4.69,116,33.5,21,7.03,4.45,19.3,41.1%
"Jordy Nelson",WR,2008,"217 lbs",4.51,123,31.0,-,7.03,4.35,20.3,49.6%
"Josh Barge",WR,2017,"184 lbs",4.82,113,32.0,8,7.38,4.44,20.9,36.0%
"Josh Bellamy",WR,2012,"206 lbs",4.52,124,36.5,19,6.67,4.13,21.3,16.9%
"Josh Boyce",WR,2013,"206 lbs",4.38,131,34.0,22,6.68,4.10,19.3,31.3%
"Josh Cooper",WR,2012,"190 lbs",4.70,115,31.5,11,7.12,4.35,-,13.2%
"Josh Crockett",WR,2018,"197 lbs",4.64,137,41.0,9,7.47,4.50,21.5,29.1%
"Josh Doctson",WR,2016,"202 lbs",4.50,131,41.0,14,6.84,4.08,18.8,38.6%
"Josh Gordon",WR,2012,"225 lbs",4.57,121,36.0,13,-,-,19.4,25.0%
"Josh Harper",WR,2015,"191 lbs",4.64,108,32.0,13,7.15,4.36,21.8,31.5%
"Josh Huff",WR,2014,"206 lbs",4.51,116,35.5,14,6.96,4.12,20.9,33.8%
"Josh Lenz",WR,2013,"195 lbs",4.44,121,38.5,21,6.59,4.20,21.0,19.0%
"Josh Magee",WR,2017,"184 lbs",4.54,107,31.5,14,6.91,4.26,23.9,32.1%
"Josh Malone",WR,2017,"208 lbs",4.40,121,30.5,10,7.05,4.19,20.5,35.3%
"Josh Morgan",WR,2008,"219 lbs",4.51,120,40.5,14,7.06,4.29,20.2,24.7%
"Josh Reynolds",WR,2017,"194 lbs",4.52,124,37.0,-,6.83,4.13,19.6,39.7%
"Josh Stewart",WR,2014,"178 lbs",4.69,117,35.0,11,7.10,4.33,19.9,20.3%
"Jovon Durante",WR,2019,"160 lbs",4.55,120,31.5,-,7.00,4.31,22.4,33.1%
"JuJu Smith-Schuster",WR,2017,"215 lbs",4.54,120,32.5,15,6.88,4.19,18.8,31.9%
"JuWann Winfree",WR,2019,-,-,-,-,-,-,-,-,16.0%
"Julian Edelman",WR,2009,"198 lbs",4.57,123,36.5,14,6.62,3.92,-,-
"Julian Talley",WR,2012,"192 lbs",4.62,128,41.5,14,6.65,4.09,21.2,30.2%
"Julian Williams",WR,2018,"193 lbs",4.77,119,34.0,15,6.95,4.21,-,11.1%
"Julio Jones",WR,2011,"220 lbs",4.39,135,38.5,17,6.66,4.25,19.6,34.4%
"Junior Hemingway",WR,2012,"222 lbs",4.53,124,35.5,21,6.59,3.98,21.7,24.8%
"Juron Criner",WR,2012,"220 lbs",4.68,117,38.0,17,7.15,4.30,19.7,34.9%
"Justice Liggins",WR,2017,"206 lbs",4.56,127,39.0,16,6.86,4.25,-,18.5%
"Justin Blackmon",WR,2012,"207 lbs",4.53,123,35.0,14,7.13,4.38,20.7,44.0%
"Justin Brown",WR,2013,"209 lbs",4.65,117,30.5,8,6.96,4.31,20.5,19.8%
"Justin Hardy",WR,2015,"192 lbs",4.56,114,36.5,11,6.63,4.21,19.7,31.6%
"Justin Hunter",WR,2013,"196 lbs",4.44,136,39.5,-,7.19,4.33,19.3,27.2%
"Justin Thomas",WR,2017,"186 lbs",4.40,115,32.0,-,7.19,4.14,-,-
"Justin Veltung",WR,2013,"182 lbs",4.51,129,41.5,8,6.79,4.15,-,3.1%
"Justin Watson",WR,2018,"215 lbs",4.49,124,40.0,20,7.08,4.26,19.4,60.3%
"Juston Christian",WR,2019,-,-,-,-,-,-,-,17.7,51.4%
"K.J. Brent",WR,2016,"202 lbs",4.59,118,34.0,6,6.89,4.30,-,14.5%
"K.J. Hill",WR,2019,-,-,-,-,-,-,-,-,15.4%
"K.J. Maye",WR,2016,"191 lbs",4.66,113,33.0,10,7.18,4.35,21.5,30.5%
"KD Cannon",WR,2017,"182 lbs",4.41,119,37.0,13,7.10,4.37,18.8,39.4%
"Ka'Raun White",WR,2018,"199 lbs",4.52,118,33.5,24,7.16,4.57,19.4,28.7%
"Kadron Boone",WR,2014,"193 lbs",4.52,118,33.0,9,7.37,4.60,21.0,15.1%
"Kaelin Clay",WR,2015,"195 lbs",4.51,113,33.0,10,6.97,4.26,22.7,20.2%
"Kain Colter",WR,2014,"198 lbs",4.76,113,33.5,11,6.68,4.20,-,-
"Kalif Raymond",WR,2016,"162 lbs",4.39,-,-,-,-,-,21.1,30.5%
"Kamar Aiken",WR,2011,"215 lbs",4.50,128,36.5,17,7.19,4.63,18.3,25.9%
"Karel Hamilton",WR,2017,"199 lbs",4.66,115,34.0,12,7.10,4.62,18.4,38.2%
"Kasen Williams",WR,2015,"219 lbs",4.65,119,35.0,17,7.10,4.46,20.8,20.1%
"Kashif Moore",WR,2012,"180 lbs",4.42,126,43.5,19,6.82,4.05,21.8,31.1%
"Kassim Osgood",WR,2003,"220 lbs",4.68,122,31.0,-,7.19,4.44,-,-
"KeVonn Mabon",WR,2017,"212 lbs",4.71,122,31.5,14,6.91,4.33,20.9,28.4%
"Kealoha Pilares",WR,2011,"201 lbs",4.47,125,40.5,19,6.85,4.11,22.5,31.6%
"KeeSean Johnson",WR,2019,"201 lbs",4.60,117,30.0,14,7.28,4.23,19.9,35.7%
"Keelan Cole",WR,2017,"194 lbs",4.64,-,-,-,6.69,4.40,20.4,60.7%
"Keelan Doss",WR,2019,"211 lbs",-,-,-,8,-,-,20.5,35.9%
"Keenan Allen",WR,2013,"206 lbs",4.71,-,-,-,-,-,18.4,49.5%
"Keenan Reynolds",WR,2016,"190 lbs",4.62,120,37.0,15,-,-,-,-
"Keeon Johnson",WR,2017,"211 lbs",4.62,132,35.5,25,7.00,4.34,-,15.7%
"Keevan Lucas",WR,2017,"192 lbs",4.55,119,32.5,11,7.23,4.43,19.4,41.5%
"Keith Kirkwood",WR,2018,"221 lbs",4.50,123,35.0,-,6.94,4.43,23.7,26.9%
"Keith Mumphery",WR,2015,"215 lbs",4.54,121,32.5,15,7.07,4.25,-,12.9%
"Keke Coutee",WR,2018,"181 lbs",4.43,113,34.5,14,6.93,4.15,20.6,30.8%
"Kelvin Benjamin",WR,2014,"240 lbs",4.61,119,32.5,13,7.33,4.39,22.6,29.3%
"Kelvin Harmon",WR,2019,"221 lbs",4.60,117,32.5,18,7.15,4.32,21.3,31.2%
"Kenbrell Thompkins",WR,2013,"190 lbs",4.54,121,33.5,8,6.88,4.21,-,14.5%
"Kendall Wright",WR,2012,"196 lbs",4.61,121,38.5,4,6.93,4.18,18.8,35.7%
"Kendrick Bourne",WR,2017,"203 lbs",4.68,125,34.0,9,6.73,4.21,19.1,20.6%
"Kenneth Walker",WR,2017,"188 lbs",4.35,115,32.0,19,7.28,4.40,-,15.5%
"Kenny Bell",WR,2015,"197 lbs",4.42,129,41.5,7,6.66,4.15,19.5,29.2%
"Kenny Britt",WR,2009,"215 lbs",4.56,124,37.0,23,-,-,19.0,36.1%
"Kenny Cook",WR,2015,"218 lbs",4.65,120,33.0,12,7.13,4.37,20.3,30.0%
"Kenny Golladay",WR,2017,"218 lbs",4.50,120,35.5,18,7.00,4.15,19.8,41.8%
"Kenny Lawler",WR,2016,"203 lbs",4.64,111,31.0,-,7.13,4.20,20.2,22.0%
"Kenny Shaw",WR,2014,"174 lbs",4.61,120,33.0,8,6.62,4.27,-,17.7%
"Kenny Stills",WR,2013,"194 lbs",4.38,124,33.5,16,7.13,4.13,19.4,29.3%
"Keon Hatcher",WR,2017,"212 lbs",4.64,-,-,16,-,-,20.0,28.4%
"Kermit Whitfield",WR,2017,"185 lbs",4.44,120,32.5,8,7.17,4.37,21.9,16.8%
"Kerry Taylor",WR,2011,"200 lbs",4.56,120,38.0,16,6.63,4.18,19.5,19.1%
"Keshawn Martin",WR,2012,"189 lbs",4.45,122,39.5,13,6.85,4.13,-,18.7%
"Kevin Cone",WR,2011,"216 lbs",4.46,121,36.0,20,7.53,4.35,-,10.0%
"Kevin Dorsey",WR,2013,"207 lbs",4.52,130,38.0,17,7.08,4.28,21.5,21.7%
"Kevin Elliott",WR,2012,"213 lbs",4.58,122,34.0,-,6.72,4.20,19.7,34.6%
"Kevin Norwood",WR,2014,"198 lbs",4.48,121,33.0,8,6.68,4.32,24.0,21.0%
"Kevin Ogletree",WR,2009,"198 lbs",4.46,122,36.0,-,6.67,4.08,19.1,42.5%
"Kevin Smith",WR,2014,"208 lbs",4.59,126,37.0,10,6.96,4.36,-,19.3%
"Kevin White",WR,2015,"215 lbs",4.35,123,36.5,23,6.92,4.14,21.2,36.8%
"Kevonte Martin-Manley",WR,2015,"205 lbs",4.63,124,35.5,-,6.94,4.21,19.9,13.2%
"Keyarris Garrett",WR,2016,"220 lbs",4.53,128,36.5,14,7.30,4.33,19.9,34.3%
"Khadarel Hodge",WR,2018,"198 lbs",4.63,124,38.0,-,-,-,21.7,36.9%
"Kofi Hughes",WR,2014,"208 lbs",4.57,126,35.5,24,6.90,4.20,19.4,24.0%
"Kolby Listenbee",WR,2016,"197 lbs",4.39,129,35.5,15,-,-,-,15.4%
"Korey Robertson",WR,2018,"212 lbs",4.56,123,34.0,13,7.55,4.40,22.2,42.7%
"Kris Durham",WR,2011,"215 lbs",4.51,121,36.0,17,6.89,4.41,22.5,16.5%
"Krishawn Hogan",WR,2017,"222 lbs",4.56,124,36.5,13,6.74,4.21,19.3,44.8%
