"Full Name",Position,"Draft Year",Weight,"40-Yard Dash","Broad Jump","Vertical Jump","Bench Press","3-Cone Drill","20-Yard Shuttle","Breakout Age","College Dominator Rating"
"Austin Franklin",WR,2014,"189 lbs",4.56,124,36.0,7,7.07,4.33,19.8,44.7%
"Austin Hill",WR,2015,"210 lbs",4.64,121,36.5,17,6.72,4.11,21.1,25.4%
"Austin Pettis",WR,2011,"209 lbs",4.61,120,33.5,14,6.68,3.88,20.6,27.8%
"Austin Proehl",WR,2018,"182 lbs",-,113,34.0,11,6.75,4.07,-,17.2%
"Austin Willis",WR,2015,"176 lbs",4.40,125,39.5,21,6.98,4.21,21.4,29.1%
"B.J. Cunningham",WR,2012,"215 lbs",4.59,116,31.5,12,7.10,4.31,21.3,41.5%
"Ben Edwards",WR,2014,"197 lbs",-,-,-,11,6.80,4.52,19.4,25.3%
"Bennie Fowler",WR,2014,"217 lbs",4.52,126,36.0,18,7.06,4.18,21.2,28.4%
"Bernard Reedy",WR,2014,"175 lbs",4.57,120,37.0,16,6.84,4.07,19.7,38.0%
"Bobo Wilson",WR,2017,"189 lbs",4.57,-,-,10,-,-,-,15.4%
"Bra'lon Cherry",WR,2017,"188 lbs",4.62,127,38.5,17,6.95,4.28,-,13.9%
"Brad Smith",WR,2006,"212 lbs",4.46,128,39.5,-,7.01,4.33,-,-
"Bradley Marquez",WR,2015,"201 lbs",4.59,123,38.0,11,6.80,4.04,21.7,22.2%
"Braelon Roberts",WR,2018,"202 lbs",4.57,112,32.5,4,7.44,4.70,-,13.7%
"Brandin Cooks",WR,2014,"189 lbs",4.33,120,36.0,16,6.76,3.81,18.9,38.9%
"Brandon Coleman",WR,2014,"225 lbs",4.56,113,32.5,21,7.33,4.51,19.2,26.7%
"Brandon Gibson",WR,2009,"210 lbs",4.64,113,34.0,10,6.94,4.54,19.1,35.1%
"Brandon LaFell",WR,2010,"211 lbs",4.58,115,36.0,11,6.81,4.23,21.8,45.7%
"Brandon Lloyd",WR,2003,"200 lbs",4.62,-,36.0,-,-,-,20.2,32.2%
"Brandon Marshall",WR,2006,"230 lbs",4.52,120,37.0,28,6.96,4.31,21.5,42.5%
"Brandon Powell",WR,2018,"181 lbs",4.64,115,32.0,-,6.88,4.15,22.0,25.3%
"Brandon Reilly",WR,2017,"202 lbs",4.52,120,32.0,18,6.77,4.18,-,16.8%
"Brandon Shippen",WR,2016,"195 lbs",4.60,117,31.5,17,6.76,4.20,-,7.3%
"Brandon Tate",WR,2009,"195 lbs",4.57,112,36.0,-,7.25,4.12,19.9,20.0%
"Brandon Zylstra",WR,2016,"214 lbs",4.64,124,36.0,16,-,4.25,20.5,38.6%
"Braxton Berrios",WR,2018,"184 lbs",4.49,110,36.0,11,6.72,4.18,21.9,28.1%
"Braxton Miller",WR,2016,"201 lbs",4.50,123,35.0,17,6.65,4.07,-,14.8%
"Brelan Chancellor",WR,2014,"188 lbs",4.56,121,41.0,15,6.83,4.16,19.1,29.0%
"Brenton Bersin",WR,2012,"211 lbs",4.65,119,35.0,8,7.10,4.27,19.3,54.3%
"Breshad Perriman",WR,2015,"212 lbs",4.30,127,36.5,18,-,-,20.0,36.6%
"Brian Brown",WR,2017,"204 lbs",4.66,119,31.5,14,7.12,4.34,20.9,39.9%
"Brian Hartline",WR,2009,"199 lbs",4.58,120,34.5,-,6.65,4.12,20.8,25.0%
"Brian Quick",WR,2012,"220 lbs",4.55,119,34.0,15,7.10,4.23,20.3,48.4%
"Brian Tyms",WR,2012,"204 lbs",4.53,130,39.5,19,6.86,4.14,22.5,20.1%
"Brice Butler",WR,2013,"213 lbs",4.42,129,39.0,-,6.70,4.40,-,17.1%
"Brisly Estime",WR,2017,"186 lbs",4.54,121,34.5,11,7.13,4.29,-,13.6%
"Brittan Golden",WR,2012,"186 lbs",4.53,122,36.0,16,6.80,4.25,23.1,32.4%
"Brody Oliver",WR,2019,-,-,-,-,-,-,-,-,49.3%
"Bruce Ellington",WR,2014,"197 lbs",4.45,120,39.5,15,6.69,3.95,21.0,27.5%
"Bryan Walters",WR,2010,"190 lbs",-,-,-,-,-,-,21.8,52.1%
"Bryant Mitchell",WR,2015,"185 lbs",4.75,129,37.0,4,7.08,4.19,-,10.0%
"Bryce Bobo",WR,2018,"204 lbs",4.73,116,28.5,9,7.38,4.38,22.2,24.2%
"Bryce Treggs",WR,2016,"185 lbs",4.44,122,34.0,16,7.00,4.19,-,17.7%
"Bud Sasser",WR,2015,"216 lbs",4.58,120,34.5,18,6.88,4.38,22.3,42.9%
"Bug Howard",WR,2017,"221 lbs",4.58,119,37.5,-,6.95,4.14,21.8,26.2%
"Byron Pringle",WR,2018,"205 lbs",4.46,120,33.5,15,6.87,4.40,22.8,37.7%
"C.J. Board",WR,2017,"181 lbs",4.47,132,38.5,9,6.67,4.06,21.7,23.4%
"Caleb Holley",WR,2014,"200 lbs",4.67,126,38.5,7,6.78,4.31,21.7,36.6%
"Caleb Scott",WR,2018,"203 lbs",4.51,124,37.0,13,6.58,4.35,-,12.3%
"Calvin Johnson",WR,2007,"236 lbs",4.35,139,42.5,-,-,-,19.9,55.3%
"Calvin Ridley",WR,2018,"189 lbs",4.43,110,31.0,15,6.88,4.41,20.7,30.1%
"Cam Phillips",WR,2018,"199 lbs",4.84,113,29.5,12,7.19,4.45,18.7,34.8%
"Cam Sims",WR,2018,"212 lbs",4.64,123,34.0,-,7.57,4.49,-,5.6%
"Cam Worthy",WR,2015,"211 lbs",4.64,125,36.5,12,-,-,22.4,20.0%
"Cameron Batson",WR,2018,"175 lbs",4.40,124,39.0,14,6.69,4.00,-,13.5%
"Cameron Meredith",WR,2015,"200 lbs",4.54,127,39.0,14,6.71,4.12,22.0,30.0%
"Canaan Severin",WR,2016,"212 lbs",-,-,-,-,-,-,21.5,32.3%
"Carlos Henderson",WR,2017,"199 lbs",4.46,131,36.0,13,7.18,4.35,20.7,40.0%
"Carlton Agudosi",WR,2017,"217 lbs",4.66,124,40.5,10,6.79,4.37,-,9.6%
"Cayleb Jones",WR,2016,"209 lbs",4.65,112,33.5,9,6.99,4.14,21.5,25.2%
"Cecil Shorts",WR,2011,"205 lbs",4.59,114,34.5,21,6.50,4.07,20.7,40.8%
"Cedrick Wilson",WR,2018,"188 lbs",4.55,121,37.0,9,6.89,4.23,20.8,35.5%
"Chad Beebe",WR,2018,"178 lbs",4.73,117,32.5,-,6.88,4.18,-,14.5%
"Chad Hansen",WR,2017,"202 lbs",4.53,119,35.0,11,6.74,4.13,21.6,35.2%
