"Full Name",Position,BMI,"Draft Pick","Draft Year","Height (Inches)","Arm Length","Hand Size"
"Brandon Marshall",WR,28.0,4.22,2006,76,"32 5/8","8 7/8"
"Brandon Powell",WR,27.5,Undrafted,2018,68,"29 1/4","8 7/8"
"Brandon Reilly",WR,25.9,Undrafted,2017,74,"29 1/4","8 7/8"
"Brandon Shippen",WR,27.2,Undrafted,2016,71,"30 3/8","9    "
"Brandon Tate",WR,25.7,3.19,2009,73,"30 3/4",-
"Brandon Zylstra",WR,27.5,Undrafted,2016,74,"31 1/4","9 1/4"
"Braxton Berrios",WR,27.2,6.36,2018,69,"28    ","9 1/4"
"Braxton Miller",WR,26.5,3.22,2016,73,"31 3/4","9 1/8"
"Brelan Chancellor",WR,27.8,Undrafted,2014,69,"30    ","9 5/8"
"Brenton Bersin",WR,26.4,Undrafted,2012,75,"31 1/4",-
"Breshad Perriman",WR,27.2,1.26,2015,74,"32    ","9 1/4"
"Brian Brown",WR,26.9,Undrafted,2017,73,"31 1/8","9    "
"Brian Hartline",WR,25.5,4.08,2009,74,"32    ","10    "
"Brian Quick",WR,27.5,2.01,2012,75,"34 1/4","9 3/4"
"Brian Tyms",WR,25.5,Undrafted,2012,75,"32 2/3",-
"Brice Butler",WR,26.6,7.03,2013,75,"34 1/2","9 3/8"
"Brisly Estime",WR,28.3,Undrafted,2017,68,"29 3/4","8    "
"Brittan Golden",WR,25.9,Undrafted,2012,71,-,-
"Brody Oliver",WR,26.4,Undrafted,2019,75,"31 5/8","9 7/8"
"Bruce Ellington",WR,29.1,4.06,2014,69,"31    ","9 5/8"
"Bryan Walters",WR,25.8,Undrafted,2010,72,-,-
"Bryant Mitchell",WR,24.4,Undrafted,2015,73,"32 3/8","9 1/2"
"Bryce Bobo",WR,26.2,Undrafted,2018,74,"32 7/8","10    "
"Bryce Treggs",WR,26.5,Undrafted,2016,70,"30 7/8","9 1/8"
"Bud Sasser",WR,27.7,6.25,2015,74,"33    ","10 1/8"
"Bug Howard",WR,26.9,Undrafted,2017,76,"33 1/8","10 3/8"
"Byron Pringle",WR,27.0,Undrafted,2018,73,"32    ","9 1/4"
"C.J. Board",WR,23.9,Undrafted,2017,73,"31 1/2","9 1/4"
"Caleb Holley",WR,25.7,Undrafted,2014,74,"31 5/8","9 3/4"
"Caleb Scott",WR,26.1,Undrafted,2018,74,"30 5/8","9    "
"Calvin Johnson",WR,28.0,1.02,2007,77,"33 3/8","9 7/8"
"Calvin Ridley",WR,24.9,1.26,2018,73,"31 5/8","9 1/8"
"Cam Phillips",WR,27.0,Undrafted,2018,72,"30 1/2","8 7/8"
"Cam Sims",WR,25.8,Undrafted,2018,76,"33 1/4","9 5/8"
"Cam Worthy",WR,27.1,Undrafted,2015,74,"33 1/2","10 1/8"
"Cameron Batson",WR,26.6,Undrafted,2018,68,"28 7/8","9    "
"Cameron Meredith",WR,25.0,Undrafted,2015,75,"32 1/8","9 1/4"
"Canaan Severin",WR,27.2,Undrafted,2016,74,"33 1/8","9 3/4"
"Carlos Henderson",WR,27.8,3.18,2017,71,"31 3/8","9 1/8"
"Carlton Agudosi",WR,25.7,Undrafted,2017,77,"35 1/2","9 1/2"
"Cayleb Jones",WR,26.1,Undrafted,2016,75,"32 3/4","9 1/4"
"Cecil Shorts",WR,27.8,4.17,2011,72,"31 5/8","9 1/4"
"Cedrick Wilson",WR,24.1,6.34,2018,74,"31 1/2","9 3/4"
"Chad Beebe",WR,25.5,Undrafted,2018,70,"27 7/8","9 1/8"
"Chad Hansen",WR,25.9,4.35,2017,74,"32 1/8","10 1/8"
"Chad Williams",WR,28.1,3.34,2017,72,"32    ","9 3/4"
"Chance Allen",WR,27.3,Undrafted,2017,73,"32 7/8","9 1/2"
"Chandler Jones",WR,24.3,Undrafted,2014,71,"29 1/2","8 1/2"
"Charles Johnson",WR,27.6,7.10,2013,74,"30 1/2","9 1/4"
"Charone Peake",WR,26.8,7.20,2016,74,"34    ","9 1/4"
"Chester Rogers",WR,25.1,Undrafted,2016,72,"30 1/8","7 1/2"
"Chris Boyd",WR,25.1,Undrafted,2014,76,"32 5/8","9 5/8"
"Chris Brown",WR,24.9,Undrafted,2016,74,"32 1/4","9    "
"Chris Conley",WR,27.3,3.12,2015,74,"33 3/4","9 7/8"
"Chris D. Harper",WR,30.2,4.26,2013,73,"32 3/4","9 3/4"
"Chris Fields",WR,26.9,Undrafted,2014,72,"31    ","8 7/8"
"Chris Givens",WR,27.6,4.01,2012,71,"31 1/4","8 1/4"
"Chris Godwin",WR,27.6,3.20,2017,73,"31 5/8","9 1/8"
"Chris Harper",WR,24.4,Undrafted,2015,72,"31 7/8","9 1/8"
"Chris Hogan",WR,29.0,Undrafted,2012,73,-,-
"Chris Lacy",WR,25.6,Undrafted,2018,75,"31 1/4","9 3/4"
"Chris Matthews",WR,25.8,Undrafted,2011,77,-,-
"Chris Moore",WR,27.2,4.09,2016,73,"33 3/8","9 3/8"
"Chris Owusu",WR,27.1,Undrafted,2012,72,"31 3/4","8 1/2"
"Chris Summers",WR,25.3,Undrafted,2012,77,"32 3/4",-
"Chris Thompson",WR,23.8,Undrafted,2017,71,"31 1/8","9 1/4"
"Chris Williams",WR,26.6,Undrafted,2009,68,-,-
"Christian Blake",WR,24.3,Undrafted,2018,72,"31 5/8","9 3/8"
"Christian Kirk",WR,28.8,2.15,2018,70,"30 3/8","9 7/8"
"Christion Jones",WR,26.1,Undrafted,2015,70,"30    ","9    "
"Chuck Jacobs",WR,24.1,Undrafted,2013,72,"30 3/4","8 1/2"
"Clyde Gates",WR,25.8,Undrafted,2011,72,"30 1/2","9 1/4"
"Cobi Hamilton",WR,27.2,6.29,2013,74,"32 1/2","8 3/4"
"Cody Core",WR,25.6,6.24,2016,75,"32    ","10 3/8"
"Cody Hoffman",WR,27.1,Undrafted,2014,76,"33 1/4","9 3/4"
"Cody Hollister",WR,26.7,Undrafted,2017,75,"31 3/4","9 5/8"
"Cody Latimer",WR,27.6,2.24,2014,74,"32 5/8","9 5/8"
"Cody Thompson",WR,27.0,Undrafted,2019,73,"31    ","9 3/8"
"Colby Pearson",WR,26.3,Undrafted,2017,72,"31 3/8","9 3/8"
"Cole Beasley",WR,26.9,Undrafted,2012,68,"28 7/8",-
"Colin Lockett",WR,26.2,Undrafted,2014,71,"30 1/8","8 1/2"
"Cooper Kupp",WR,26.2,3.05,2017,74,"31 1/2","9 1/2"
"Cordarrelle Patterson",WR,27.7,1.29,2013,74,"31 3/4","9    "
"Corey Brown",WR,24.8,Undrafted,2014,71,"31 3/4","9 3/8"
"Corey Coleman",WR,27.1,1.15,2016,71,"30 1/4","9    "
"Corey Davis",WR,26.1,1.05,2017,75,"33    ","9 1/8"
"Corey Fuller",WR,26.2,6.03,2013,74,"33 1/4","9 1/2"
"Corey Smith",WR,24.8,Undrafted,2017,72,"30 5/8","9 1/8"
"Corey Washington",WR,26.0,Undrafted,2014,76,"33    ","9 1/4"
"Corey Willis",WR,26.1,Undrafted,2018,70,"29 1/2","9 1/8"
"Cortrelle Simpson",WR,27.6,Undrafted,2019,69,"30 3/8","8 3/4"
"Courtland Sutton",WR,27.2,2.08,2018,75,"32 3/8","9 3/4"
"Courtney Roby",WR,25.6,3.04,2005,72,"31 3/8","9 5/8"
"Curtis Samuel",WR,27.3,2.08,2017,71,"31 1/4","9 1/2"
"Cyril Grayson",WR,27.0,Undrafted,2017,69,-,-
"D.J. Chark",WR,24.9,2.29,2018,75,"32 3/8","9 1/4"
"D.J. Coles",WR,28.1,Undrafted,2014,75,"33 1/4","10    "
"D.J. Moore",WR,28.5,1.24,2018,72,"31 5/8","9 5/8"
"D.K. Metcalf",WR,28.5,2.32,2019,75,"34 7/8","9 7/8"
"Da'Mari Scott",WR,27.8,Undrafted,2018,72,"31 3/4","9    "
"Da'Rick Rogers",WR,27.9,Undrafted,2013,74,"32 3/4","9 1/2"
"Da'Ron Brown",WR,27.8,7.16,2015,72,"32    ","10 1/4"
"DaMarkus Lodge",WR,25.9,Undrafted,2019,74,"33 1/8","9 1/2"
"DaVaris Daniels",WR,26.5,Undrafted,2015,73,"31 1/4","9    "
"DaeSean Hamilton",WR,26.8,4.13,2018,73,"31    ","9 3/8"
"Daikiel Shorts",WR,26.6,Undrafted,2017,72,"31    ","9 1/4"
"Damaris Johnson",WR,26.6,Undrafted,2012,68,"27 3/8",-
"Damarr Aultman",WR,27.6,Undrafted,2015,71,"30 1/8","9 1/2"
"Damian Copeland",WR,25.7,Undrafted,2014,71,"31 3/8","9    "
"Damian Williams",WR,26.3,3.13,2010,73,"31 3/4","9 1/4"
"Damiere Byrd",WR,23.9,Undrafted,2015,69,"29 7/8","8    "
"Damion Ratley",WR,25.2,6.01,2018,74,"31    ","9 1/2"
"Damion Willis",WR,25.5,Undrafted,2019,75,"33 1/4","8 7/8"
"Damond Powell",WR,24.8,Undrafted,2015,71,"30 3/8","8 7/8"
"Damore'ea Stringfellow",WR,28.0,Undrafted,2017,74,"33 1/4","10 5/8"
"Damoun Patterson",WR,26.0,Undrafted,2018,72,"30 3/8","8 5/8"
"Danario Alexander",WR,26.2,Undrafted,2010,77,"34 3/4","10    "
"Dane Sanzenbacher",WR,25.1,Undrafted,2011,71,"30 1/2","8 1/4"
"Daniel Braverman",WR,25.1,7.09,2016,70,"28 3/4","9 1/8"
"Daniel Williams",WR,30.0,Undrafted,2017,74,"32 1/2","9 1/2"
"Danny Amendola",WR,26.7,Undrafted,2009,70,-,-
"Danny Coale",WR,25.8,5.17,2012,72,"30 5/8","9 1/8"
"Dante Pettis",WR,24.5,2.12,2018,73,"32 1/4","9 1/2"
"Darius Davis",WR,29.6,Undrafted,2015,71,"30 5/8","9 3/8"
"Darius Jennings",WR,24.2,Undrafted,2015,70,"28 1/2","8 3/8"
"Darius Johnson",WR,26.4,Undrafted,2013,69,"30 1/4","9 1/8"
"Darius Powe",WR,27.5,Undrafted,2016,75,"31 5/8","9 1/8"
"Darius Slayton",WR,25.1,5.33,2019,73,"32 3/4","10    "
"Darren Andrews",WR,28.3,Undrafted,2018,70,"29 3/4","9 1/8"
"Darren Carrington",WR,25.5,Undrafted,2018,74,"32 3/4","10 3/8"
"Darreus Rogers",WR,28.5,Undrafted,2017,73,"32    ","10 1/8"
"Darrius Heyward-Bey",WR,27.0,1.07,2009,74,"33 5/8","9    "
"Darrius Shepherd",WR,25.9,Undrafted,2019,71,"30    ","10    "
"Darryl Surgent",WR,26.5,Undrafted,2014,71,"31 3/4","9 1/4"
"Darvin Kidsy",WR,24.4,Undrafted,2018,72,-,-
"Daurice Fountain",WR,27.2,5.22,2018,73,"34    ","10 1/8"
"Davante Adams",WR,28.0,2.21,2014,73,"32 5/8","9    "
"David Gettis",WR,27.1,6.29,2010,75,"34    ","10    "
"David Moore",WR,28.9,7.08,2017,73,"30 5/8","9 1/2"
"David Nelson",WR,25.4,Undrafted,2010,77,-,-
"David Reed",WR,25.8,5.25,2010,72,"31 3/4","9 3/8"
"David Richards",WR,25.6,Undrafted,2016,75,"31 1/2","9 3/8"
"David Sills",WR,26.4,Undrafted,2019,75,"32    ","9    "
"Davon Grayson",WR,26.3,Undrafted,2018,73,"31 3/8","9 3/8"
"Davonte Allen",WR,27.4,Undrafted,2016,73,"32 3/8","8 1/2"
"De'Anthony Thomas",WR,25.7,4.24,2014,69,"29 7/8","8 1/8"
"De'Mornay Pierson-El",WR,28.6,Undrafted,2018,69,"30 7/8","9 5/8"
"DeAndre Carter",WR,28.1,Undrafted,2015,68,"30 5/8","8 3/4"
"DeAndre Hopkins",WR,28.2,1.27,2013,73,"33 3/8","10    "
"DeAndre Reaves",WR,25.7,Undrafted,2016,70,"29 3/8","8    "
"DeAndre Smelter",WR,29.0,4.33,2015,74,"32 5/8","11    "
"DeAndrew White",WR,26.9,Undrafted,2015,71,"31    ","9 1/8"
"DeAngelo Yancey",WR,28.2,5.32,2017,74,"32 7/8","9 3/4"
"DeMario Bennett",WR,23.2,Undrafted,2014,74,"33 7/8","7 7/8"
"DeSean Jackson",WR,25.1,2.18,2008,70,"31 1/4","9 3/8"
"DeVante Parker",WR,26.1,1.14,2015,75,"33 1/4","9 1/4"
"DeVier Posey",WR,27.0,3.05,2012,74,"31 5/8","9 5/8"
"Deante' Gray",WR,28.0,Undrafted,2017,68,"30 1/4","7 7/8"
"Dede Westbrook",WR,24.1,4.03,2017,72,"30 5/8","9    "
"Deebo Samuel",WR,29.8,2.04,2019,71,"31 3/8","10    "
"Demarcus Ayers",WR,26.9,7.08,2016,69,"31 1/4","9 1/4"
"Demarcus Robinson",WR,26.8,4.28,2016,73,"33    ","9 1/2"
"Demaryius Thomas",WR,28.6,1.22,2010,75,"33    ","10 1/2"
"Denarius Moore",WR,26.3,5.17,2011,72,"33    ","9 1/2"
"Dennis Parks",WR,26.5,Undrafted,2016,73,"33 5/8","8 7/8"
"Deon Cain",WR,25.9,6.11,2018,74,"33    ","8 3/4"
"Deon Long",WR,26.0,Undrafted,2015,72,"31    ","9 1/2"
