"Full Name",Position,"Arm Length","Height (Inches)",BMI,"Draft Pick","Draft Year","Hand Size"
"Chris Polk",RB,"31 1/2",70,31.9,Undrafted,2012,"9 3/4"
"Chris Rainey",RB,"30 3/4",68,26.6,5.24,2012,"9 1/2"
"Chris Thompson",RB,"30 1/4",67,30.1,5.21,2013,"9 1/4"
"Chris Warren",RB,"32    ",74,31.7,Undrafted,2018,"10    "
"Christian McCaffrey",RB,"30    ",71,28.2,1.08,2017,"9    "
"Christian Powell",RB,"32 1/2",71,31.9,Undrafted,2016,"8 7/8"
"Christine Michael",RB,"31 1/2",70,31.6,2.30,2013,"9 3/8"
"Christopher Ezeala",RB,-,71,33.9,Undrafted,2018,-
"Cierre Wood",RB,"30 7/8",71,29.7,Undrafted,2013,"8 5/8"
"Corey Clement",RB,"30 1/2",70,31.6,Undrafted,2017,"9 3/4"
"Corey Grant",RB,"30 7/8",71,28.0,Undrafted,2015,"8 1/4"
"Cullen Gillaspia",RB,"30 3/4",73,30.9,7.06,2019,"9 1/8"
"Cyrus Gray",RB,"29 1/2",70,28.4,6.12,2012,"9 1/8"
"D'Angelo Brewer",RB,"29 1/4",67,29.8,Undrafted,2018,"8 7/8"
"D'Ernest Johnson",RB,"31    ",71,27.9,Undrafted,2018,"9 5/8"
"D'Onta Foreman",RB,"31 3/8",72,31.6,3.25,2017,"10 1/8"
"D.J. Adams",RB,"30 1/2",69,29.4,Undrafted,2014,"9    "
"D.J. Foster",RB,"30 1/2",70,27.7,Undrafted,2016,"9 1/4"
"D.J. Knox",RB,"29 3/4",67,33.0,Undrafted,2019,"9    "
"Da'Rel Scott",RB,"32 3/8",71,29.3,7.18,2011,"9    "
"Dalton Crossan",RB,"28 1/2",71,28.6,Undrafted,2017,"9 1/2"
"Dalvin Cook",RB,"33 3/8",70,30.1,2.09,2017,"9 1/4"
"Dalyn Dawkins",RB,"29    ",67,28.7,Undrafted,2018,"8 3/8"
"Damarea Crockett",RB,"32    ",70,32.3,Undrafted,2019,"9 5/8"
"Damien Harris",RB,"30 3/4",70,31.0,3.23,2019,"9 3/4"
"Damien Williams",RB,"30 5/8",71,31.0,Undrafted,2014,"9 1/8"
"Dan Herron",RB,"32    ",70,30.8,6.21,2012,"9    "
"Dan Vitale",RB,"31 3/4",73,31.5,6.22,2016,"9 3/4"
"Daniel Lasco",RB,"32    ",72,28.3,7.16,2016,"9 1/8"
"Daniel Thomas",RB,"32 1/4",72,31.6,2.30,2011,"9    "
"Danny Woodhead",RB,"28 3/8",68,29.6,Undrafted,2008,"9 1/8"
"Dare Ogunbowale",RB,"31 3/8",71,29.7,Undrafted,2017,"9 1/8"
"Darius Jackson",RB,"31 5/8",72,29.8,6.41,2016,"8 5/8"
"Darius Victor",RB,"28 3/8",67,35.5,Undrafted,2017,"9    "
"Darnell Woolfolk",RB,"30 1/2",69,32.8,Undrafted,2019,"9 3/4"
"Darrel Williams",RB,"31    ",72,30.5,Undrafted,2018,"9 3/8"
"Darrel Young",RB,-,71,35.0,Undrafted,2009,-
"Darrell Henderson",RB,"31    ",68,31.6,3.06,2019,"8 5/8"
"Darren McFadden",RB,"32 1/4",73,27.7,1.04,2008,"9 3/8"
"Darren Sproles",RB,"28    ",66,29.9,4.29,2005,"8    "
"Darrin Hall",RB,"31 3/4",72,29.4,Undrafted,2019,"9 3/4"
"Darrin Reaves",RB,"30    ",67,33.5,Undrafted,2014,"8 3/8"
"Darwin Thompson",RB,"29 3/4",68,30.1,6.41,2019,"8 3/8"
"Daryl Richardson",RB,"30 5/8",70,27.5,7.45,2012,"9 1/8"
"David Cobb",RB,"31 5/8",71,31.9,5.02,2015,"9 3/8"
"David Fluellen",RB,"33 3/8",71,31.2,Undrafted,2014,"9 1/8"
"David Johnson",RB,"31 1/4",73,29.6,3.22,2015,"9 5/8"
"David Montgomery",RB,"31 3/8",70,31.9,3.09,2019,"9 1/4"
"David Williams",RB,"30    ",72,30.4,7.08,2018,"9 1/8"
"David Wilson",RB,"30 1/4",70,29.4,1.32,2012,"9 3/8"
"Davin Meggett",RB,"30 1/8",68,33.3,Undrafted,2012,"9 1/2"
"De'Angelo Henderson",RB,"29    ",67,32.6,6.19,2017,"9 1/2"
"De'Lance Turner",RB,"30    ",71,30.1,Undrafted,2018,"9    "
"De'Veon Smith",RB,"29 1/2",71,31.1,Undrafted,2017,"9    "
"DeAndre Washington",RB,"30    ",68,31.0,5.04,2016,"9    "
"DeAngelo Williams",RB,"31    ",69,32.0,1.27,2006,"9 1/8"
"DeMarco Murray",RB,"32    ",72,29.2,3.07,2011,"9 1/4"
"Dee Hart",RB,"29 3/4",67,31.2,Undrafted,2015,"9    "
"Delone Carter",RB,"31    ",69,33.2,4.22,2011,"9 3/8"
"Demario Richard",RB,"28 3/4",69,32.2,Undrafted,2018,"9 1/4"
"Denard Robinson",RB,"32 5/8",70,28.6,5.02,2013,"9    "
"Dennis Johnson",RB,-,67,30.2,Undrafted,2013,-
"Derek Watt",RB,"31    ",74,30.0,6.23,2016,"10 1/8"
"Derrick Coleman",RB,-,72,31.6,Undrafted,2012,-
"Derrick Henry",RB,"33    ",75,30.9,2.14,2016,"8 3/4"
"Derrius Guice",RB,"30 3/4",71,31.2,2.27,2018,"9    "
"Desmond Martin",RB,"30 1/2",72,30.0,Undrafted,2015,"9 1/2"
"Detrez Newsome",RB,"31 3/4",69,30.7,Undrafted,2018,"9 7/8"
"Devante Mays",RB,"31 3/4",70,33.0,7.20,2017,"8 5/8"
"Devin Singletary",RB,"28 7/8",67,31.8,3.10,2019,"8 1/2"
"Devine Ozigbo",RB,"31    ",71,31.0,Undrafted,2019,"9 1/4"
"Devine Redding",RB,"29 1/4",68,31.2,Undrafted,2017,"9 5/8"
"Devon Johnson",RB,"31 1/4",72,32.3,Undrafted,2016,"9 1/4"
"Devonta Freeman",RB,"29 3/8",68,31.3,4.03,2014,"9 5/8"
"Devontae Booker",RB,"31 5/8",71,30.5,4.38,2016,"8 5/8"
"Dexter McCluster",RB,"29 1/4",68,25.8,2.04,2010,"8 3/8"
"Dexter Williams",RB,"32 1/4",71,29.6,6.21,2019,"9 5/8"
"Dillon Baxter",RB,"30    ",71,27.5,Undrafted,2014,"8    "
"Dimitri Flowers",RB,"30 3/4",74,31.8,Undrafted,2018,"9 1/4"
"Diocemy Saint Juste",RB,"29    ",68,28.7,Undrafted,2018,"9 3/8"
"Dion Lewis",RB,"28 1/8",67,30.2,5.18,2011,"8 5/8"
"Dominick Bragalone",RB,"29 3/4",70,33.4,Undrafted,2019,"9 1/8"
"Dominique Brown",RB,"32 3/8",74,30.0,Undrafted,2015,"9 1/2"
"Dominique Williams",RB,"30 3/4",69,30.3,Undrafted,2014,"9 1/2"
"Don Jackson",RB,"29 7/8",71,28.6,Undrafted,2016,"9    "
"Donald Brown",RB,"31 1/2",70,30.1,1.27,2009,"9    "
"Donnel Pumphrey",RB,"29    ",68,26.8,4.26,2017,"8 1/2"
"Dontrell Hilliard",RB,"31 7/8",71,28.2,Undrafted,2018,"9 3/4"
"Doug Martin",RB,"30 1/2",69,32.9,1.31,2012,"9    "
"Dreamius Smith",RB,"30 5/8",71,31.1,Undrafted,2015,"9 1/4"
"Dri Archer",RB,"31    ",68,26.3,3.33,2014,"8 7/8"
"DuJuan Harris",RB,-,67,30.9,Undrafted,2011,-
"Duke Johnson",RB,"30 3/8",69,30.6,3.13,2015,"9 1/4"
"Dwayne Washington",RB,"32 3/8",72,30.2,7.15,2016,"9 7/8"
"Eddie Lacy",RB,"31    ",71,34.9,2.29,2013,"9 1/2"
"Edwin Baker",RB,"29 5/8",68,30.4,7.43,2012,"8 1/8"
"Elijah Holyfield",RB,"30 3/8",70,31.1,Undrafted,2019,"9    "
"Elijah Hood",RB,"30 3/8",72,31.5,7.24,2017,"9 3/8"
"Elijah McGuire",RB,"31    ",70,30.7,6.04,2017,"9    "
