"Full Name",Position,"Arm Length","Height (Inches)",BMI,"Draft Pick","Draft Year","Hand Size"
"Brandon LaFell",WR,"32 3/4",74,27.1,3.14,2010,"8 3/4"
"Brandon Lloyd",WR,"31 1/4",72,27.1,4.25,2003,"9    "
"Brandon Marshall",WR,"32 5/8",76,28.0,4.22,2006,"8 7/8"
"Brandon Powell",WR,"29 1/4",68,27.5,Undrafted,2018,"8 7/8"
"Brandon Reilly",WR,"29 1/4",74,25.9,Undrafted,2017,"8 7/8"
"Brandon Shippen",WR,"30 3/8",71,27.2,Undrafted,2016,"9    "
"Brandon Tate",WR,"30 3/4",73,25.7,3.19,2009,-
"Brandon Zylstra",WR,"31 1/4",74,27.5,Undrafted,2016,"9 1/4"
"Braxton Berrios",WR,"28    ",69,27.2,6.36,2018,"9 1/4"
"Braxton Miller",WR,"31 3/4",73,26.5,3.22,2016,"9 1/8"
"Brelan Chancellor",WR,"30    ",69,27.8,Undrafted,2014,"9 5/8"
"Brenton Bersin",WR,"31 1/4",75,26.4,Undrafted,2012,-
"Breshad Perriman",WR,"32    ",74,27.2,1.26,2015,"9 1/4"
"Brian Brown",WR,"31 1/8",73,26.9,Undrafted,2017,"9    "
"Brian Hartline",WR,"32    ",74,25.5,4.08,2009,"10    "
"Brian Quick",WR,"34 1/4",75,27.5,2.01,2012,"9 3/4"
"Brian Tyms",WR,"32 2/3",75,25.5,Undrafted,2012,-
"Brice Butler",WR,"34 1/2",75,26.6,7.03,2013,"9 3/8"
"Brisly Estime",WR,"29 3/4",68,28.3,Undrafted,2017,"8    "
"Brittan Golden",WR,-,71,25.9,Undrafted,2012,-
"Brody Oliver",WR,"31 5/8",75,26.4,Undrafted,2019,"9 7/8"
"Bruce Ellington",WR,"31    ",69,29.1,4.06,2014,"9 5/8"
"Bryan Walters",WR,-,72,25.8,Undrafted,2010,-
"Bryant Mitchell",WR,"32 3/8",73,24.4,Undrafted,2015,"9 1/2"
"Bryce Bobo",WR,"32 7/8",74,26.2,Undrafted,2018,"10    "
"Bryce Treggs",WR,"30 7/8",70,26.5,Undrafted,2016,"9 1/8"
"Bud Sasser",WR,"33    ",74,27.7,6.25,2015,"10 1/8"
"Bug Howard",WR,"33 1/8",76,26.9,Undrafted,2017,"10 3/8"
"Byron Pringle",WR,"32    ",73,27.0,Undrafted,2018,"9 1/4"
"C.J. Board",WR,"31 1/2",73,23.9,Undrafted,2017,"9 1/4"
"Caleb Holley",WR,"31 5/8",74,25.7,Undrafted,2014,"9 3/4"
"Caleb Scott",WR,"30 5/8",74,26.1,Undrafted,2018,"9    "
"Calvin Johnson",WR,"33 3/8",77,28.0,1.02,2007,"9 7/8"
"Calvin Ridley",WR,"31 5/8",73,24.9,1.26,2018,"9 1/8"
"Cam Phillips",WR,"30 1/2",72,27.0,Undrafted,2018,"8 7/8"
"Cam Sims",WR,"33 1/4",76,25.8,Undrafted,2018,"9 5/8"
"Cam Worthy",WR,"33 1/2",74,27.1,Undrafted,2015,"10 1/8"
"Cameron Batson",WR,"28 7/8",68,26.6,Undrafted,2018,"9    "
"Cameron Meredith",WR,"32 1/8",75,25.0,Undrafted,2015,"9 1/4"
"Canaan Severin",WR,"33 1/8",74,27.2,Undrafted,2016,"9 3/4"
"Carlos Henderson",WR,"31 3/8",71,27.8,3.18,2017,"9 1/8"
"Carlton Agudosi",WR,"35 1/2",77,25.7,Undrafted,2017,"9 1/2"
"Cayleb Jones",WR,"32 3/4",75,26.1,Undrafted,2016,"9 1/4"
"Cecil Shorts",WR,"31 5/8",72,27.8,4.17,2011,"9 1/4"
"Cedrick Wilson",WR,"31 1/2",74,24.1,6.34,2018,"9 3/4"
"Chad Beebe",WR,"27 7/8",70,25.5,Undrafted,2018,"9 1/8"
"Chad Hansen",WR,"32 1/8",74,25.9,4.35,2017,"10 1/8"
"Chad Williams",WR,"32    ",72,28.1,3.34,2017,"9 3/4"
"Chance Allen",WR,"32 7/8",73,27.3,Undrafted,2017,"9 1/2"
"Chandler Jones",WR,"29 1/2",71,24.3,Undrafted,2014,"8 1/2"
"Charles Johnson",WR,"30 1/2",74,27.6,7.10,2013,"9 1/4"
"Charone Peake",WR,"34    ",74,26.8,7.20,2016,"9 1/4"
"Chester Rogers",WR,"30 1/8",72,25.1,Undrafted,2016,"7 1/2"
"Chris Boyd",WR,"32 5/8",76,25.1,Undrafted,2014,"9 5/8"
"Chris Brown",WR,"32 1/4",74,24.9,Undrafted,2016,"9    "
"Chris Conley",WR,"33 3/4",74,27.3,3.12,2015,"9 7/8"
"Chris D. Harper",WR,"32 3/4",73,30.2,4.26,2013,"9 3/4"
"Chris Fields",WR,"31    ",72,26.9,Undrafted,2014,"8 7/8"
"Chris Givens",WR,"31 1/4",71,27.6,4.01,2012,"8 1/4"
"Chris Godwin",WR,"31 5/8",73,27.6,3.20,2017,"9 1/8"
"Chris Harper",WR,"31 7/8",72,24.4,Undrafted,2015,"9 1/8"
"Chris Hogan",WR,-,73,29.0,Undrafted,2012,-
"Chris Lacy",WR,"31 1/4",75,25.6,Undrafted,2018,"9 3/4"
"Chris Matthews",WR,-,77,25.8,Undrafted,2011,-
"Chris Moore",WR,"33 3/8",73,27.2,4.09,2016,"9 3/8"
"Chris Owusu",WR,"31 3/4",72,27.1,Undrafted,2012,"8 1/2"
"Chris Summers",WR,"32 3/4",77,25.3,Undrafted,2012,-
"Chris Thompson",WR,"31 1/8",71,23.8,Undrafted,2017,"9 1/4"
"Chris Williams",WR,-,68,26.6,Undrafted,2009,-
"Christian Blake",WR,"31 5/8",72,24.3,Undrafted,2018,"9 3/8"
"Christian Kirk",WR,"30 3/8",70,28.8,2.15,2018,"9 7/8"
"Christion Jones",WR,"30    ",70,26.1,Undrafted,2015,"9    "
"Chuck Jacobs",WR,"30 3/4",72,24.1,Undrafted,2013,"8 1/2"
"Clyde Gates",WR,"30 1/2",72,25.8,Undrafted,2011,"9 1/4"
"Cobi Hamilton",WR,"32 1/2",74,27.2,6.29,2013,"8 3/4"
"Cody Core",WR,"32    ",75,25.6,6.24,2016,"10 3/8"
"Cody Hoffman",WR,"33 1/4",76,27.1,Undrafted,2014,"9 3/4"
"Cody Hollister",WR,"31 3/4",75,26.7,Undrafted,2017,"9 5/8"
"Cody Latimer",WR,"32 5/8",74,27.6,2.24,2014,"9 5/8"
"Cody Thompson",WR,"31    ",73,27.0,Undrafted,2019,"9 3/8"
"Colby Pearson",WR,"31 3/8",72,26.3,Undrafted,2017,"9 3/8"
"Cole Beasley",WR,"28 7/8",68,26.9,Undrafted,2012,-
"Colin Lockett",WR,"30 1/8",71,26.2,Undrafted,2014,"8 1/2"
"Cooper Kupp",WR,"31 1/2",74,26.2,3.05,2017,"9 1/2"
"Cordarrelle Patterson",WR,"31 3/4",74,27.7,1.29,2013,"9    "
"Corey Brown",WR,"31 3/4",71,24.8,Undrafted,2014,"9 3/8"
"Corey Coleman",WR,"30 1/4",71,27.1,1.15,2016,"9    "
"Corey Davis",WR,"33    ",75,26.1,1.05,2017,"9 1/8"
"Corey Fuller",WR,"33 1/4",74,26.2,6.03,2013,"9 1/2"
"Corey Smith",WR,"30 5/8",72,24.8,Undrafted,2017,"9 1/8"
"Corey Washington",WR,"33    ",76,26.0,Undrafted,2014,"9 1/4"
