"Full Name",Position,Team,"Height (Inches)",BMI,"Draft Year","Draft Pick","20-Yard Shuttle","3-Cone Drill","40-Yard Dash","Broad Jump","Bench Press"
"Austin Proehl",WR,"Los Angeles Rams",69,26.9,2018,7.37,4.07,6.75,-,113,11
"Austin Willis",WR,-,69,26.0,2015,Undrafted,4.21,6.98,4.40,125,21
"B.J. Cunningham",WR,-,73,28.4,2012,6.13,4.31,7.10,4.59,116,12
"Ben Edwards",WR,-,70,28.3,2014,Undrafted,4.52,6.80,-,-,11
"Bennie Fowler",WR,"New York Giants",73,28.6,2014,Undrafted,4.18,7.06,4.52,126,18
"Bernard Reedy",WR,-,69,25.8,2014,Undrafted,4.07,6.84,4.57,120,16
"Blake Jackson",WR,"Cleveland Browns",71,28.6,2017,Undrafted,-,-,-,-,-
"Bobo Wilson",WR,"Tampa Bay Buccaneers",69,27.9,2017,Undrafted,-,-,4.57,-,10
"Bra'lon Cherry",WR,-,71,26.2,2017,Undrafted,4.28,6.95,4.62,127,17
"Brad Smith",WR,-,74,27.2,2006,4.06,4.33,7.01,4.46,128,-
"Bradley Marquez",WR,-,71,28.0,2015,Undrafted,4.04,6.80,4.59,123,11
"Braelon Roberts",WR,-,75,25.2,2018,Undrafted,4.70,7.44,4.57,112,4
"Brandin Cooks",WR,"Los Angeles Rams",70,27.1,2014,1.20,3.81,6.76,4.33,120,16
"Brandon Coleman",WR,-,78,26.0,2014,Undrafted,4.51,7.33,4.56,113,21
"Brandon Gibson",WR,-,72,28.5,2009,6.21,4.54,6.94,4.64,113,10
"Brandon LaFell",WR,-,74,27.1,2010,3.14,4.23,6.81,4.58,115,11
"Brandon Lloyd",WR,-,72,27.1,2003,4.25,-,-,4.62,-,-
"Brandon Marshall",WR,-,76,28.0,2006,4.22,4.31,6.96,4.52,120,28
"Brandon Powell",WR,"Detroit Lions",68,27.5,2018,Undrafted,4.15,6.88,4.64,115,-
"Brandon Reilly",WR,-,74,25.9,2017,Undrafted,4.18,6.77,4.52,120,18
"Brandon Shippen",WR,-,71,27.2,2016,Undrafted,4.20,6.76,4.60,117,17
"Brandon Tate",WR,-,73,25.7,2009,3.19,4.12,7.25,4.57,112,-
"Brandon Zylstra",WR,"Minnesota Vikings",74,27.5,2016,Undrafted,4.25,-,4.64,124,16
"Braxton Berrios",WR,"New England Patriots",69,27.2,2018,6.36,4.18,6.72,4.49,110,11
"Braxton Miller",WR,"Philadelphia Eagles",73,26.5,2016,3.22,4.07,6.65,4.50,123,17
"Brelan Chancellor",WR,-,69,27.8,2014,Undrafted,4.16,6.83,4.56,121,15
"Brenton Bersin",WR,-,75,26.4,2012,Undrafted,4.27,7.10,4.65,119,8
"Breshad Perriman",WR,"Tampa Bay Buccaneers",74,27.2,2015,1.26,-,-,4.30,127,18
"Brian Brown",WR,-,73,26.9,2017,Undrafted,4.34,7.12,4.66,119,14
"Brian Hartline",WR,-,74,25.5,2009,4.08,4.12,6.65,4.58,120,-
"Brian Quick",WR,Washington,75,27.5,2012,2.01,4.23,7.10,4.55,119,15
"Brian Tyms",WR,-,75,25.5,2012,Undrafted,4.14,6.86,4.53,130,19
"Brice Butler",WR,"Miami Dolphins",75,26.6,2013,7.03,4.40,6.70,4.42,129,-
"Brisly Estime",WR,-,68,28.3,2017,Undrafted,4.29,7.13,4.54,121,11
"Brittan Golden",WR,"New York Giants",71,25.9,2012,Undrafted,4.25,6.80,4.53,122,16
"Brody Oliver",WR,-,75,26.4,2019,Undrafted,4.31,6.95,-,116,10
"Bruce Ellington",WR,-,69,29.1,2014,4.06,3.95,6.69,4.45,120,15
"Bryan Walters",WR,-,72,25.8,2010,Undrafted,-,-,-,-,-
"Bryant Mitchell",WR,-,73,24.4,2015,Undrafted,4.19,7.08,4.75,129,4
"Bryce Bobo",WR,-,74,26.2,2018,Undrafted,4.38,7.38,4.73,116,9
"Bryce Treggs",WR,-,70,26.5,2016,Undrafted,4.19,7.00,4.44,122,16
"Bud Sasser",WR,-,74,27.7,2015,6.25,4.38,6.88,4.58,120,18
"Bug Howard",WR,-,76,26.9,2017,Undrafted,4.14,6.95,4.58,119,-
"Byron Pringle",WR,"Kansas City Chiefs",73,27.0,2018,Undrafted,4.40,6.87,4.46,120,15
"C.J. Board",WR,"Jacksonville Jaguars",73,23.9,2017,Undrafted,4.06,6.67,4.47,132,9
"Caleb Holley",WR,-,74,25.7,2014,Undrafted,4.31,6.78,4.67,126,7
"Caleb Scott",WR,"Seattle Seahawks",74,26.1,2018,Undrafted,4.35,6.58,4.51,124,13
"Calvin Johnson",WR,-,77,28.0,2007,1.02,-,-,4.35,139,-
"Calvin Ridley",WR,"Atlanta Falcons",73,24.9,2018,1.26,4.41,6.88,4.43,110,15
"Cam Phillips",WR,"Buffalo Bills",72,27.0,2018,Undrafted,4.45,7.19,4.84,113,12
"Cam Sims",WR,Washington,76,25.8,2018,Undrafted,4.49,7.57,4.64,123,-
"Cam Worthy",WR,-,74,27.1,2015,Undrafted,-,-,4.64,125,12
"Cameron Batson",WR,"Tennessee Titans",68,26.6,2018,Undrafted,4.00,6.69,4.40,124,14
"Cameron Meredith",WR,"New Orleans Saints",75,25.0,2015,Undrafted,4.12,6.71,4.54,127,14
"Canaan Severin",WR,-,74,27.2,2016,Undrafted,-,-,-,-,-
"Carlos Henderson",WR,-,71,27.8,2017,3.18,4.35,7.18,4.46,131,13
"Carlton Agudosi",WR,"Philadelphia Eagles",77,25.7,2017,Undrafted,4.37,6.79,4.66,124,10
"Cayleb Jones",WR,-,75,26.1,2016,Undrafted,4.14,6.99,4.65,112,9
"Cecil Shorts",WR,-,72,27.8,2011,4.17,4.07,6.50,4.59,114,21
"Cedrick Wilson",WR,"Dallas Cowboys",74,24.1,2018,6.34,4.23,6.89,4.55,121,9
"Chad Beebe",WR,"Minnesota Vikings",70,25.5,2018,Undrafted,4.18,6.88,4.73,117,-
"Chad Hansen",WR,-,74,25.9,2017,4.35,4.13,6.74,4.53,119,11
"Chad Williams",WR,"Arizona Cardinals",72,28.1,2017,3.34,4.15,7.06,4.45,123,26
"Chance Allen",WR,-,73,27.3,2017,Undrafted,4.64,7.45,4.93,116,7
"Chandler Jones",WR,-,71,24.3,2014,Undrafted,4.37,6.78,4.39,117,13
"Charles Johnson",WR,"Philadelphia Eagles",74,27.6,2013,7.10,4.31,6.96,4.44,133,14
"Charone Peake",WR,"New York Jets",74,26.8,2016,7.20,4.46,6.96,4.45,122,12
"Chester Rogers",WR,-,72,25.1,2016,Undrafted,4.07,6.85,4.56,120,15
"Chris Boyd",WR,-,76,25.1,2014,Undrafted,-,-,4.65,116,12
"Chris Brown",WR,-,74,24.9,2016,Undrafted,4.41,7.37,4.55,130,14
"Chris Conley",WR,"Jacksonville Jaguars",74,27.3,2015,3.12,4.30,7.06,4.35,139,18
"Chris D. Harper",WR,-,73,30.2,2013,4.26,4.26,6.89,4.55,116,20
"Chris Fields",WR,-,72,26.9,2014,Undrafted,4.26,7.03,4.63,125,14
"Chris Givens",WR,-,71,27.6,2012,4.01,4.23,6.97,4.41,118,19
"Chris Godwin",WR,"Tampa Bay Buccaneers",73,27.6,2017,3.20,4.00,7.01,4.42,126,19
"Chris Harper",WR,-,72,24.4,2015,Undrafted,4.36,7.03,4.58,120,11
"Chris Hogan",WR,"Carolina Panthers",73,29.0,2012,Undrafted,4.15,6.75,4.55,126,28
"Chris Lacy",WR,"Detroit Lions",75,25.6,2018,Undrafted,4.60,7.29,4.51,120,11
"Chris Matthews",WR,-,77,25.8,2011,Undrafted,4.29,6.90,4.62,118,14
"Chris Moore",WR,"Baltimore Ravens",73,27.2,2016,4.09,4.20,6.76,4.53,130,10
"Chris Owusu",WR,-,72,27.1,2012,Undrafted,4.11,6.85,4.36,129,19
"Chris Summers",WR,-,77,25.3,2012,Undrafted,4.48,7.37,4.62,121,-
"Chris Thompson",WR,-,71,23.8,2017,Undrafted,4.25,7.00,4.53,121,6
"Chris Williams",WR,-,68,26.6,2009,Undrafted,4.15,6.84,4.33,127,13
"Christian Blake",WR,"Atlanta Falcons",72,24.3,2018,Undrafted,4.40,6.83,4.56,126,9
"Christian Kirk",WR,"Arizona Cardinals",70,28.8,2018,2.15,4.45,7.09,4.47,115,20
"Christion Jones",WR,-,70,26.1,2015,Undrafted,4.19,6.91,4.63,119,8
"Chuck Jacobs",WR,-,72,24.1,2013,Undrafted,4.06,6.88,4.55,124,10
"Clyde Gates",WR,-,72,25.8,2011,Undrafted,4.17,6.87,4.37,131,16
"Cobi Hamilton",WR,-,74,27.2,2013,6.29,4.31,7.09,4.56,107,11
"Cody Core",WR,"Cincinnati Bengals",75,25.6,2016,6.24,4.40,6.75,4.47,119,14
"Cody Hoffman",WR,-,76,27.1,2014,Undrafted,4.20,6.89,4.65,108,13
"Cody Hollister",WR,-,75,26.7,2017,Undrafted,-,-,-,-,24
"Cody Latimer",WR,"New York Giants",74,27.6,2014,2.24,-,-,4.44,124,23
"Cody Thompson",WR,"Kansas City Chiefs",73,27.0,2019,Undrafted,4.03,6.87,4.57,119,19
"Colby Pearson",WR,-,72,26.3,2017,Undrafted,4.35,6.94,4.55,122,12
"Cole Beasley",WR,"Buffalo Bills",68,26.9,2012,Undrafted,4.40,7.16,4.54,126,17
